"seqnames"	"start"	"end"	"width"	"strand"	"site_reads"	"site_mean"	"block"
"chr2.193437"	"chr2"	193437	193437	1	"*"	468	24.6315789473684	"chr2.5"
"chr2.193509"	"chr2"	193509	193509	1	"*"	457	24.0526315789474	"chr2.5"
"chr2.193510"	"chr2"	193510	193510	1	"*"	378	19.8947368421053	"chr2.5"
"chr2.214012"	"chr2"	214012	214012	1	"*"	323	17	"chr2.6"
"chr2.214013"	"chr2"	214013	214013	1	"*"	284	14.9473684210526	"chr2.6"
"chr2.214014"	"chr2"	214014	214014	1	"*"	322	16.9473684210526	"chr2.6"
"chr2.214015"	"chr2"	214015	214015	1	"*"	286	15.0526315789474	"chr2.6"
"chr2.214022"	"chr2"	214022	214022	1	"*"	317	16.6842105263158	"chr2.6"
"chr2.214023"	"chr2"	214023	214023	1	"*"	293	15.4210526315789	"chr2.6"
"chr2.214026"	"chr2"	214026	214026	1	"*"	310	16.3157894736842	"chr2.6"
"chr2.214027"	"chr2"	214027	214027	1	"*"	279	14.6842105263158	"chr2.6"
"chr2.214054"	"chr2"	214054	214054	1	"*"	249	13.1052631578947	"chr2.6"
"chr2.214055"	"chr2"	214055	214055	1	"*"	244	13.5555555555556	"chr2.6"
"chr2.214063"	"chr2"	214063	214063	1	"*"	213	11.8333333333333	"chr2.6"
"chr2.214064"	"chr2"	214064	214064	1	"*"	215	11.9444444444444	"chr2.6"
"chr2.214069"	"chr2"	214069	214069	1	"*"	180	10.5882352941176	"chr2.6"
"chr2.214070"	"chr2"	214070	214070	1	"*"	183	11.4375	"chr2.7"
"chr2.214073"	"chr2"	214073	214073	1	"*"	162	10.125	"chr2.7"
"chr2.214074"	"chr2"	214074	214074	1	"*"	176	10.3529411764706	"chr2.7"
"chr2.214089"	"chr2"	214089	214089	1	"*"	159	9.9375	"chr2.7"
"chr2.214128"	"chr2"	214128	214128	1	"*"	173	10.1764705882353	"chr2.7"
"chr2.214129"	"chr2"	214129	214129	1	"*"	146	9.73333333333333	"chr2.7"
"chr2.214148"	"chr2"	214148	214148	1	"*"	162	9.52941176470588	"chr2.7"
"chr2.214149"	"chr2"	214149	214149	1	"*"	157	9.8125	"chr2.7"
"chr2.214160"	"chr2"	214160	214160	1	"*"	177	9.83333333333333	"chr2.7"
"chr2.214161"	"chr2"	214161	214161	1	"*"	153	9.5625	"chr2.7"
"chr2.214166"	"chr2"	214166	214166	1	"*"	183	10.1666666666667	"chr2.7"
"chr2.214167"	"chr2"	214167	214167	1	"*"	143	8.9375	"chr2.7"
"chr2.214171"	"chr2"	214171	214171	1	"*"	183	10.1666666666667	"chr2.7"
"chr2.214172"	"chr2"	214172	214172	1	"*"	147	9.1875	"chr2.7"
"chr2.214178"	"chr2"	214178	214178	1	"*"	181	10.0555555555556	"chr2.7"
"chr2.214179"	"chr2"	214179	214179	1	"*"	142	9.46666666666667	"chr2.7"
"chr2.214182"	"chr2"	214182	214182	1	"*"	183	10.1666666666667	"chr2.7"
"chr2.214183"	"chr2"	214183	214183	1	"*"	146	9.125	"chr2.7"
"chr2.214189"	"chr2"	214189	214189	1	"*"	183	10.7647058823529	"chr2.7"
"chr2.214190"	"chr2"	214190	214190	1	"*"	153	9.5625	"chr2.7"
"chr2.214198"	"chr2"	214198	214198	1	"*"	185	10.8823529411765	"chr2.7"
"chr2.214199"	"chr2"	214199	214199	1	"*"	150	10	"chr2.7"
"chr2.214210"	"chr2"	214210	214210	1	"*"	185	10.2777777777778	"chr2.7"
"chr2.214211"	"chr2"	214211	214211	1	"*"	147	9.8	"chr2.7"
"chr2.214217"	"chr2"	214217	214217	1	"*"	186	11.625	"chr2.7"
"chr2.214218"	"chr2"	214218	214218	1	"*"	143	9.53333333333333	"chr2.7"
"chr2.214223"	"chr2"	214223	214223	1	"*"	177	11.8	"chr2.7"
"chr2.214224"	"chr2"	214224	214224	1	"*"	134	8.93333333333333	"chr2.7"
"chr2.214226"	"chr2"	214226	214226	1	"*"	176	11.7333333333333	"chr2.7"
"chr2.214227"	"chr2"	214227	214227	1	"*"	142	8.875	"chr2.7"
"chr2.214231"	"chr2"	214231	214231	1	"*"	180	12	"chr2.7"
"chr2.214232"	"chr2"	214232	214232	1	"*"	146	9.73333333333333	"chr2.7"
"chr2.214244"	"chr2"	214244	214244	1	"*"	192	12	"chr2.7"
"chr2.214245"	"chr2"	214245	214245	1	"*"	146	9.73333333333333	"chr2.7"
"chr2.214263"	"chr2"	214263	214263	1	"*"	203	12.6875	"chr2.7"
"chr2.214264"	"chr2"	214264	214264	1	"*"	141	9.4	"chr2.7"
"chr2.214286"	"chr2"	214286	214286	1	"*"	241	13.3888888888889	"chr2.7"
"chr2.214287"	"chr2"	214287	214287	1	"*"	151	10.7857142857143	"chr2.7"
"chr2.214299"	"chr2"	214299	214299	1	"*"	251	13.9444444444444	"chr2.7"
"chr2.214353"	"chr2"	214353	214353	1	"*"	301	15.8421052631579	"chr2.7"
"chr2.214354"	"chr2"	214354	214354	1	"*"	124	8.26666666666667	"chr2.7"
"chr2.214362"	"chr2"	214362	214362	1	"*"	297	15.6315789473684	"chr2.7"
"chr2.214363"	"chr2"	214363	214363	1	"*"	124	8.26666666666667	"chr2.7"
"chr2.214390"	"chr2"	214390	214390	1	"*"	270	14.2105263157895	"chr2.7"
"chr2.214391"	"chr2"	214391	214391	1	"*"	108	7.2	"chr2.7"
"chr2.214397"	"chr2"	214397	214397	1	"*"	260	14.4444444444444	"chr2.7"
"chr2.214398"	"chr2"	214398	214398	1	"*"	100	7.14285714285714	"chr2.7"
"chr2.214414"	"chr2"	214414	214414	1	"*"	226	12.5555555555556	"chr2.7"
"chr2.214421"	"chr2"	214421	214421	1	"*"	209	11.6111111111111	"chr2.7"
"chr2.214448"	"chr2"	214448	214448	1	"*"	114	7.6	"chr2.7"
"chr2.263560"	"chr2"	263560	263560	1	"*"	142	8.875	"chr2.8"
"chr2.263567"	"chr2"	263567	263567	1	"*"	148	9.86666666666667	"chr2.8"
"chr2.263570"	"chr2"	263570	263570	1	"*"	147	9.8	"chr2.8"
"chr2.263573"	"chr2"	263573	263573	1	"*"	167	9.82352941176471	"chr2.8"
"chr2.263596"	"chr2"	263596	263596	1	"*"	214	12.5882352941176	"chr2.8"
"chr2.263598"	"chr2"	263598	263598	1	"*"	226	13.2941176470588	"chr2.8"
"chr2.263605"	"chr2"	263605	263605	1	"*"	246	12.9473684210526	"chr2.8"
"chr2.263607"	"chr2"	263607	263607	1	"*"	247	13	"chr2.8"
"chr2.263616"	"chr2"	263616	263616	1	"*"	283	14.8947368421053	"chr2.8"
"chr2.263628"	"chr2"	263628	263628	1	"*"	153	9	"chr2.8"
"chr2.263629"	"chr2"	263629	263629	1	"*"	314	16.5263157894737	"chr2.8"
"chr2.263630"	"chr2"	263630	263630	1	"*"	144	9	"chr2.8"
"chr2.263631"	"chr2"	263631	263631	1	"*"	316	16.6315789473684	"chr2.8"
"chr2.263632"	"chr2"	263632	263632	1	"*"	153	9	"chr2.8"
"chr2.263633"	"chr2"	263633	263633	1	"*"	334	17.5789473684211	"chr2.8"
"chr2.263638"	"chr2"	263638	263638	1	"*"	165	9.70588235294118	"chr2.8"
"chr2.263639"	"chr2"	263639	263639	1	"*"	339	17.8421052631579	"chr2.8"
"chr2.263656"	"chr2"	263656	263656	1	"*"	210	11.6666666666667	"chr2.8"
"chr2.263657"	"chr2"	263657	263657	1	"*"	366	19.2631578947368	"chr2.8"
"chr2.263669"	"chr2"	263669	263669	1	"*"	236	13.1111111111111	"chr2.8"
"chr2.263670"	"chr2"	263670	263670	1	"*"	359	18.8947368421053	"chr2.8"
"chr2.263681"	"chr2"	263681	263681	1	"*"	243	13.5	"chr2.8"
"chr2.263682"	"chr2"	263682	263682	1	"*"	378	19.8947368421053	"chr2.8"
"chr2.263692"	"chr2"	263692	263692	1	"*"	235	13.0555555555556	"chr2.8"
"chr2.263693"	"chr2"	263693	263693	1	"*"	369	19.4210526315789	"chr2.8"
"chr2.263695"	"chr2"	263695	263695	1	"*"	233	12.9444444444444	"chr2.8"
"chr2.263696"	"chr2"	263696	263696	1	"*"	368	19.3684210526316	"chr2.8"
"chr2.263725"	"chr2"	263725	263725	1	"*"	204	11.3333333333333	"chr2.8"
"chr2.263726"	"chr2"	263726	263726	1	"*"	309	16.2631578947368	"chr2.8"
"chr2.263732"	"chr2"	263732	263732	1	"*"	194	10.7777777777778	"chr2.8"
"chr2.263733"	"chr2"	263733	263733	1	"*"	304	16	"chr2.8"
"chr2.263750"	"chr2"	263750	263750	1	"*"	150	9.375	"chr2.8"
"chr2.263751"	"chr2"	263751	263751	1	"*"	258	13.5789473684211	"chr2.8"
"chr2.263779"	"chr2"	263779	263779	1	"*"	114	8.14285714285714	"chr2.8"
"chr2.287327"	"chr2"	287327	287327	1	"*"	157	8.26315789473684	"chr2.11"
"chr2.287328"	"chr2"	287328	287328	1	"*"	243	12.7894736842105	"chr2.11"
"chr2.287354"	"chr2"	287354	287354	1	"*"	142	8.35294117647059	"chr2.11"
"chr2.287355"	"chr2"	287355	287355	1	"*"	240	12.6315789473684	"chr2.11"
"chr2.287359"	"chr2"	287359	287359	1	"*"	125	8.33333333333333	"chr2.11"
"chr2.287360"	"chr2"	287360	287360	1	"*"	255	13.4210526315789	"chr2.11"
"chr2.287361"	"chr2"	287361	287361	1	"*"	127	7.9375	"chr2.11"
"chr2.287362"	"chr2"	287362	287362	1	"*"	256	13.4736842105263	"chr2.11"
"chr2.287364"	"chr2"	287364	287364	1	"*"	124	7.75	"chr2.11"
"chr2.287365"	"chr2"	287365	287365	1	"*"	264	13.8947368421053	"chr2.11"
"chr2.287373"	"chr2"	287373	287373	1	"*"	138	8.11764705882353	"chr2.11"
"chr2.287374"	"chr2"	287374	287374	1	"*"	270	14.2105263157895	"chr2.11"
"chr2.287375"	"chr2"	287375	287375	1	"*"	140	7.77777777777778	"chr2.11"
"chr2.287376"	"chr2"	287376	287376	1	"*"	278	14.6315789473684	"chr2.11"
"chr2.287377"	"chr2"	287377	287377	1	"*"	141	7.83333333333333	"chr2.11"
"chr2.287378"	"chr2"	287378	287378	1	"*"	286	15.0526315789474	"chr2.11"
"chr2.287395"	"chr2"	287395	287395	1	"*"	128	7.52941176470588	"chr2.11"
"chr2.287396"	"chr2"	287396	287396	1	"*"	276	14.5263157894737	"chr2.11"
"chr2.287403"	"chr2"	287403	287403	1	"*"	116	7.25	"chr2.11"
"chr2.289130"	"chr2"	289130	289130	1	"*"	317	16.6842105263158	"chr2.12"
"chr2.289131"	"chr2"	289131	289131	1	"*"	141	9.4	"chr2.12"
"chr2.289147"	"chr2"	289147	289147	1	"*"	375	19.7368421052632	"chr2.12"
"chr2.289148"	"chr2"	289148	289148	1	"*"	162	10.125	"chr2.12"
"chr2.289209"	"chr2"	289209	289209	1	"*"	466	24.5263157894737	"chr2.12"
"chr2.289210"	"chr2"	289210	289210	1	"*"	183	10.1666666666667	"chr2.12"
"chr2.289239"	"chr2"	289239	289239	1	"*"	432	22.7368421052632	"chr2.12"
"chr2.289240"	"chr2"	289240	289240	1	"*"	154	9.05882352941176	"chr2.12"
"chr2.289254"	"chr2"	289254	289254	1	"*"	399	21	"chr2.12"
"chr2.289255"	"chr2"	289255	289255	1	"*"	132	8.25	"chr2.12"
"chr2.289261"	"chr2"	289261	289261	1	"*"	264	15.5294117647059	"chr2.12"
"chr2.289262"	"chr2"	289262	289262	1	"*"	115	7.66666666666667	"chr2.12"
"chr2.289268"	"chr2"	289268	289268	1	"*"	365	19.2105263157895	"chr2.12"
"chr2.289282"	"chr2"	289282	289282	1	"*"	325	17.1052631578947	"chr2.12"
"chr2.289286"	"chr2"	289286	289286	1	"*"	312	16.4210526315789	"chr2.12"
"chr2.289305"	"chr2"	289305	289305	1	"*"	251	13.2105263157895	"chr2.12"
"chr2.289327"	"chr2"	289327	289327	1	"*"	155	10.3333333333333	"chr2.12"
"chr2.289332"	"chr2"	289332	289332	1	"*"	140	10	"chr2.12"
"chr2.289337"	"chr2"	289337	289337	1	"*"	119	8.5	"chr2.12"
"chr2.289473"	"chr2"	289473	289473	1	"*"	100	7.14285714285714	"chr2.12"
"chr2.289483"	"chr2"	289483	289483	1	"*"	134	8.93333333333333	"chr2.12"
"chr2.289485"	"chr2"	289485	289485	1	"*"	135	9	"chr2.12"
"chr2.289494"	"chr2"	289494	289494	1	"*"	150	10	"chr2.12"
"chr2.289496"	"chr2"	289496	289496	1	"*"	155	9.6875	"chr2.12"
"chr2.289506"	"chr2"	289506	289506	1	"*"	191	11.2352941176471	"chr2.12"
"chr2.289517"	"chr2"	289517	289517	1	"*"	201	11.8235294117647	"chr2.12"
"chr2.289522"	"chr2"	289522	289522	1	"*"	220	12.2222222222222	"chr2.12"
"chr2.289524"	"chr2"	289524	289524	1	"*"	228	12.6666666666667	"chr2.12"
"chr2.289533"	"chr2"	289533	289533	1	"*"	256	13.4736842105263	"chr2.12"
"chr2.289535"	"chr2"	289535	289535	1	"*"	259	13.6315789473684	"chr2.12"
"chr2.289540"	"chr2"	289540	289540	1	"*"	263	13.8421052631579	"chr2.12"
"chr2.289550"	"chr2"	289550	289550	1	"*"	274	14.4210526315789	"chr2.12"
"chr2.289554"	"chr2"	289554	289554	1	"*"	266	14	"chr2.12"
"chr2.289575"	"chr2"	289575	289575	1	"*"	301	15.8421052631579	"chr2.12"
"chr2.289581"	"chr2"	289581	289581	1	"*"	307	16.1578947368421	"chr2.12"
"chr2.289582"	"chr2"	289582	289582	1	"*"	135	9.64285714285714	"chr2.12"
"chr2.289609"	"chr2"	289609	289609	1	"*"	341	17.9473684210526	"chr2.12"
"chr2.289610"	"chr2"	289610	289610	1	"*"	194	11.4117647058824	"chr2.12"
"chr2.289616"	"chr2"	289616	289616	1	"*"	348	18.3157894736842	"chr2.12"
"chr2.289617"	"chr2"	289617	289617	1	"*"	203	12.6875	"chr2.12"
"chr2.289688"	"chr2"	289688	289688	1	"*"	375	19.7368421052632	"chr2.12"
"chr2.289689"	"chr2"	289689	289689	1	"*"	319	16.7894736842105	"chr2.12"
"chr2.289702"	"chr2"	289702	289702	1	"*"	351	18.4736842105263	"chr2.12"
"chr2.289703"	"chr2"	289703	289703	1	"*"	341	17.9473684210526	"chr2.12"
"chr2.289731"	"chr2"	289731	289731	1	"*"	295	15.5263157894737	"chr2.12"
"chr2.289732"	"chr2"	289732	289732	1	"*"	328	17.2631578947368	"chr2.12"
"chr2.289744"	"chr2"	289744	289744	1	"*"	281	14.7894736842105	"chr2.12"
"chr2.289745"	"chr2"	289745	289745	1	"*"	322	16.9473684210526	"chr2.12"
"chr2.289746"	"chr2"	289746	289746	1	"*"	280	14.7368421052632	"chr2.12"
"chr2.289747"	"chr2"	289747	289747	1	"*"	329	17.3157894736842	"chr2.12"
"chr2.289787"	"chr2"	289787	289787	1	"*"	191	11.2352941176471	"chr2.12"
"chr2.289788"	"chr2"	289788	289788	1	"*"	217	12.0555555555556	"chr2.12"
"chr2.289796"	"chr2"	289796	289796	1	"*"	173	10.1764705882353	"chr2.12"
"chr2.289797"	"chr2"	289797	289797	1	"*"	188	10.4444444444444	"chr2.12"
"chr2.289823"	"chr2"	289823	289823	1	"*"	95	6.78571428571429	"chr2.12"
"chr2.317565"	"chr2"	317565	317565	1	"*"	253	13.3157894736842	"chr2.13"
"chr2.317566"	"chr2"	317566	317566	1	"*"	119	8.5	"chr2.13"
"chr2.317568"	"chr2"	317568	317568	1	"*"	252	13.2631578947368	"chr2.13"
"chr2.317569"	"chr2"	317569	317569	1	"*"	122	8.71428571428571	"chr2.13"
"chr2.317576"	"chr2"	317576	317576	1	"*"	283	14.8947368421053	"chr2.13"
"chr2.317579"	"chr2"	317579	317579	1	"*"	279	14.6842105263158	"chr2.13"
"chr2.317596"	"chr2"	317596	317596	1	"*"	345	18.1578947368421	"chr2.13"
"chr2.317597"	"chr2"	317597	317597	1	"*"	154	9.625	"chr2.13"
"chr2.317607"	"chr2"	317607	317607	1	"*"	385	20.2631578947368	"chr2.13"
"chr2.317608"	"chr2"	317608	317608	1	"*"	163	9.58823529411765	"chr2.13"
"chr2.317609"	"chr2"	317609	317609	1	"*"	384	20.2105263157895	"chr2.13"
"chr2.317610"	"chr2"	317610	317610	1	"*"	162	9.52941176470588	"chr2.13"
"chr2.317618"	"chr2"	317618	317618	1	"*"	403	21.2105263157895	"chr2.13"
"chr2.317619"	"chr2"	317619	317619	1	"*"	188	10.4444444444444	"chr2.13"
"chr2.317633"	"chr2"	317633	317633	1	"*"	439	23.1052631578947	"chr2.13"
"chr2.317634"	"chr2"	317634	317634	1	"*"	213	11.8333333333333	"chr2.13"
"chr2.317648"	"chr2"	317648	317648	1	"*"	408	21.4736842105263	"chr2.13"
"chr2.317649"	"chr2"	317649	317649	1	"*"	219	12.1666666666667	"chr2.13"
"chr2.363928"	"chr2"	363928	363928	1	"*"	956	50.3157894736842	"chr2.14"
"chr2.363957"	"chr2"	363957	363957	1	"*"	1105	58.1578947368421	"chr2.14"
"chr2.363958"	"chr2"	363958	363958	1	"*"	177	10.4117647058824	"chr2.14"
"chr2.363986"	"chr2"	363986	363986	1	"*"	1246	65.5789473684211	"chr2.14"
"chr2.363987"	"chr2"	363987	363987	1	"*"	275	14.4736842105263	"chr2.14"
"chr2.364054"	"chr2"	364054	364054	1	"*"	1176	61.8947368421053	"chr2.14"
"chr2.364055"	"chr2"	364055	364055	1	"*"	493	25.9473684210526	"chr2.14"
"chr2.364075"	"chr2"	364075	364075	1	"*"	990	52.1052631578947	"chr2.14"
"chr2.364076"	"chr2"	364076	364076	1	"*"	515	27.1052631578947	"chr2.14"
"chr2.364093"	"chr2"	364093	364093	1	"*"	908	47.7894736842105	"chr2.14"
"chr2.364094"	"chr2"	364094	364094	1	"*"	515	27.1052631578947	"chr2.14"
"chr2.364122"	"chr2"	364122	364122	1	"*"	923	48.5789473684211	"chr2.14"
"chr2.364123"	"chr2"	364123	364123	1	"*"	510	26.8421052631579	"chr2.14"
